seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
8590995,36,106,1,28,0.003729582,1,28,0.054329634
8486127,59,118,1,57,0.007990122,0,17,0.195930958
5403230,46,38,1,6,0.000683069,1,6,0.000899076
7899848,99,93,1,85,0.017466784,1,49,0.237667561
3437853,94,85,1,37,0.006145954,0,29,0.08283186
6054678,107,84,1,23,0.003191471,0,1,0.001021147
9123621,32,64,1,5,0.000506639,1,4,0.000540257
9044608,69,81,0,13,0.001943111,0,12,0.02419734
7199778,119,34,1,17,0.001598835,1,17,0.013210773
4497644,126,104,1,229,0.056221962,0,13,0.450319767
112746,110,51,1,32,0.003695488,1,30,0.056738377
1116812,38,40,1,5,0.000519037,1,5,0.000872135
9987551,74,66,1,82,0.01210022,1,35,0.083348036
6150237,82,46,1,22,0.002811432,1,19,0.006670237
3308279,117,104,1,97,0.02446413,0,46,1.332141161
3972806,128,34,1,31,0.003863335,1,23,0.028834581
7112342,115,101,1,42,0.009002924,1,37,0.143603802
4549396,66,83,1,32,0.004821062,1,32,0.076480389
9640461,41,125,1,21,0.002541304,1,21,0.018761396
1524589,91,61,1,75,0.012130737,0,22,0.099555731
9144467,75,52,1,17,0.001870394,1,17,0.014964342
9728396,126,69,1,93,0.016990423,0,31,0.383650541
7045564,81,82,1,38,0.005657434,1,38,0.065427303
4971449,52,124,1,69,0.00969243,0,60,0.635975838
8955856,58,82,1,36,0.004568338,1,34,0.045116425
1847362,77,86,1,23,0.003447533,1,23,0.014674664
2256313,45,105,1,40,0.009628534,1,33,0.060684919
4265592,38,97,1,6,0.001067162,1,6,0.001533508
4116536,97,78,1,96,0.01898694,0,3,0.042160988
9608454,33,52,1,31,0.00363946,1,31,0.043423414
7086069,102,87,0,147,0.028774261,0,83,1.309130907
1029604,68,96,1,25,0.004066944,1,25,0.038839579
9241159,89,121,1,55,0.009343863,1,41,0.050256968
7035325,97,42,1,95,0.013468504,1,84,0.439130306
7236258,93,32,1,44,0.00523138,1,44,0.073609591
5571439,117,72,1,47,0.008508205,0,9,0.038268805
7145098,74,42,1,26,0.003074884,0,12,0.049950361
5023254,95,85,1,18,0.003572464,0,2,0.00149107
1111772,38,62,1,39,0.004465818,0,17,0.05207181
4508184,62,48,1,14,0.001819849,1,14,0.010365963
1650025,88,88,1,49,0.008575678,0,37,0.22007823
6158565,55,125,1,40,0.005125761,1,40,0.155174017
7061084,127,51,0,16,0.001997232,1,20,0.008612394
8498183,115,96,1,74,0.017554522,0,13,0.221179962
3335872,40,91,1,18,0.002295256,1,18,0.012037039
2971425,53,43,1,29,0.00380969,1,29,0.039950371
5800364,97,32,1,54,0.006106377,1,52,0.062186718
3210582,50,45,1,4,0.000569105,1,4,0.000448465
3901390,40,90,1,92,0.010300159,0,4,0.04387784
2902247,46,77,1,19,0.002341509,1,19,0.014684677
2632201,76,58,1,18,0.002594948,1,18,0.016418219
7524109,87,53,1,33,0.0046556,1,33,0.078756332
1104467,67,90,1,28,0.00500083,0,7,0.034896374
5530585,33,121,1,28,0.002982616,1,28,0.045338869
5414452,106,41,1,64,0.008823395,1,64,0.701927662
5967648,106,63,1,31,0.005289316,0,8,0.029289961
8101187,128,67,1,64,0.009731293,0,4,0.051938057
5165796,88,127,1,36,0.006044626,1,36,0.058897495
7440037,116,55,1,9,0.001458883,1,9,0.002848625
3087609,112,52,1,11,0.001344442,1,11,0.004933357
5146355,66,49,1,21,0.002858162,0,3,0.002931833
3578858,106,39,1,29,0.003271341,1,29,0.052315235
507750,43,83,0,2,0.000250101,1,12,0.003916979
4175418,93,68,0,300,0.046522141,1,86,0.661455631
7266856,38,82,1,26,0.003564119,1,23,0.030907154
2223039,106,92,1,6,0.001101255,1,6,0.001173258
4203037,58,72,1,31,0.005268812,1,31,0.041120529
751978,79,61,1,28,0.004733324,1,26,0.046279192
2804066,90,47,0,0,0,0,0,1.19E-06
69819,127,33,1,38,0.004037857,1,38,0.07097888
4248084,72,99,1,44,0.012734413,1,49,0.195191145
3363302,110,79,1,47,0.009581089,1,46,0.275586128
2127515,51,76,0,15,0.002840519,0,12,0.011383057
180286,48,40,1,25,0.00329423,1,25,0.019233942
2684756,110,51,1,41,0.006077528,1,26,0.042643309
7242643,35,63,1,46,0.005194426,1,30,0.077629328
9838632,66,44,1,8,0.001157284,1,8,0.002087831
7130894,126,70,1,27,0.00397706,1,27,0.05565691
2137175,85,65,1,215,0.033277035,1,49,0.237756252
8951065,65,122,1,77,0.011998177,0,25,0.192930698
2637516,52,122,1,64,0.008718729,0,51,0.125639677
8948526,34,46,0,1,0.000167131,0,2,0.001218081
965500,89,33,1,27,0.003384352,1,27,0.036233664
1027509,69,108,1,44,0.008006096,0,5,0.017905712
2580687,89,98,1,49,0.008071899,0,26,0.064410686
5826791,101,126,1,175,0.047213554,1,87,0.705702305
765729,124,73,1,47,0.009386778,0,3,0.013624668
7020213,119,90,1,152,0.03456521,0,49,4.347694159
3331105,120,123,1,69,0.014975309,0,15,0.030403852
5650216,120,60,1,86,0.012158871,0,11,0.290599823
1758324,115,47,1,14,0.001441956,1,14,0.006207466
4311877,36,52,1,13,0.001726151,1,9,0.002277136
9421051,104,115,1,48,0.011958122,1,51,0.216860533
2088455,70,51,1,17,0.002066612,1,17,0.01510334
9356179,116,101,1,24,0.004423857,1,23,0.027341127
8794502,46,63,1,7,0.000781775,1,7,0.00156188
3776944,33,72,1,35,0.003813744,0,31,0.058643341
3738294,90,52,1,17,0.002226114,1,17,0.010007858
4049281,53,93,1,60,0.007525444,1,57,0.148153782
1913057,35,56,1,48,0.005331039,1,34,0.069733143
1743008,48,104,1,9,0.00124836,1,9,0.003172874
4900129,67,35,1,20,0.002331734,1,16,0.011057615
2341671,110,49,1,36,0.004039526,1,34,0.069366932
4624749,102,117,1,230,0.053853035,0,41,0.469521046
4474698,43,47,1,10,0.001490355,1,10,0.003482103
348930,68,35,1,38,0.00433588,0,25,0.069674492
2646780,98,119,1,28,0.006440163,1,19,0.016843796
7757484,106,57,1,104,0.016517401,0,29,0.582840443
7462391,69,126,1,58,0.008808851,1,54,0.078465462
447977,102,62,1,84,0.011927128,1,75,0.738561869
3027016,101,128,1,102,0.018604517,0,37,0.651869297
8251128,36,112,0,300,0.030795336,0,48,0.578321695
2383944,54,104,1,44,0.005069017,1,44,0.07431078
3188504,94,46,1,40,0.005257607,1,27,0.023112297
9634768,124,35,1,105,0.011273146,0,28,0.077499628
9460709,85,88,1,8,0.001440763,1,8,0.002398491
1118913,118,90,1,250,0.043972969,0,34,0.330295563
6163625,115,62,1,44,0.006322622,0,8,0.022089481
6992438,118,66,1,41,0.006086349,1,29,0.083282948
5538810,64,56,1,24,0.002676249,1,24,0.014049768
3923575,74,111,1,22,0.003934622,1,18,0.016189814
8345536,116,42,1,20,0.002517939,1,20,0.016604662
5874609,97,72,1,21,0.003916264,1,20,0.011697531
2388259,70,71,1,68,0.010954618,1,48,0.203618526
4654785,92,51,1,20,0.002571583,1,20,0.022425413
3953490,96,40,1,52,0.006064177,1,50,0.34674859
3020341,90,120,0,66,0.014025688,0,13,0.17184782
2956977,75,41,1,14,0.001611948,1,14,0.009619713
9667339,86,52,1,50,0.005739212,1,50,0.204181671
6291178,93,37,1,70,0.00848341,1,70,0.572767973
2731836,81,121,0,0,1.19E-06,0,0,0
8046161,85,110,1,75,0.012909889,1,75,1.262498617
8034108,117,76,1,15,0.002403021,1,15,0.010590553
8608429,49,89,1,46,0.006327629,1,46,0.250929594
6493040,32,121,1,49,0.00528717,1,29,0.066488266
3693821,34,43,1,10,0.001106262,1,10,0.003594637
92922,37,126,1,72,0.008861542,1,66,0.258221149
5662951,83,34,1,5,0.000504732,1,5,0.00074625
6074149,34,94,1,40,0.005101442,0,17,0.095907927
5628839,87,104,1,89,0.017516136,0,14,0.321056366
5337198,38,128,1,86,0.010494471,1,75,1.050590992
9595455,59,71,1,29,0.003497362,0,27,0.097818851
216936,84,33,1,24,0.00275588,1,24,0.019221306
2164916,112,41,1,18,0.002076387,1,18,0.010801554
6551194,77,121,1,77,0.012442589,0,24,0.646289587
1695298,58,67,1,46,0.0102005,0,9,0.060769081
6357657,32,38,0,7,0.000905275,0,5,0.004055977
8938790,54,52,1,15,0.002430677,1,9,0.001834631
576851,63,45,1,19,0.002251148,1,16,0.008559704
1884377,34,119,1,16,0.001775026,1,16,0.012876511
3707116,118,61,1,30,0.004320383,0,9,0.02307415
3540931,88,102,1,65,0.010727882,0,41,0.135711193
3882830,87,90,1,93,0.019937277,0,33,1.075465202
475374,73,114,1,125,0.018292427,1,87,1.390174389
4298951,59,98,1,16,0.002560854,1,15,0.00696516
1822833,89,98,1,17,0.002810717,1,17,0.009609222
2491214,78,67,1,40,0.006083727,0,11,0.109564304
852716,71,124,1,32,0.005008221,1,32,0.029711008
6411768,107,40,1,57,0.006548882,1,55,0.43614912
3117799,118,77,1,38,0.005670547,1,38,0.140188456
2661641,54,64,1,46,0.00556922,1,42,0.099223852
3454246,65,96,1,110,0.017255068,1,44,0.0972929
9373884,91,123,1,71,0.01255393,0,17,0.259853363
9547705,38,67,1,22,0.002408504,1,22,0.021051407
4210681,111,56,1,22,0.002682447,0,7,0.014316797
6068228,124,48,1,23,0.002487183,1,23,0.010905504
7497730,118,62,1,30,0.013770103,1,30,0.076753855
7180849,47,90,1,12,0.001987934,1,12,0.004974365
1903791,90,50,1,38,0.007481575,1,32,0.049536943
1065649,74,68,0,27,0.00552845,0,32,0.127703428
6308146,99,73,1,178,0.031624556,0,30,0.110747576
6294679,98,124,1,50,0.011110067,0,26,0.129076481
974379,61,106,1,22,0.003362894,1,22,0.029420853
955930,48,87,1,53,0.007772684,0,42,0.151262045
7325096,59,123,1,30,0.004693508,1,30,0.041260958
8215860,104,93,1,131,0.024703503,0,32,0.420477629
6668992,98,91,1,29,0.005875587,1,29,0.043338299
9352184,72,49,1,34,0.004302502,0,28,0.056883097
6047123,35,121,1,64,0.007726192,1,64,0.647687435
4700343,106,91,1,63,0.012846231,1,55,0.302966118
4266037,126,71,1,44,0.006377935,1,44,0.072426319
4916237,68,69,0,44,0.00954318,0,25,0.146508932
955835,115,61,0,47,0.007184982,0,12,0.186751366
2311911,118,122,1,191,0.050215244,1,81,1.372246265
4658076,41,42,1,17,0.00228858,0,12,0.009032011
1566185,36,49,1,17,0.002042532,1,17,0.008998394
5317761,60,33,1,9,0.001035213,1,9,0.002526999
7662454,88,117,1,65,0.01262641,1,65,0.283806562
7335678,57,44,1,9,0.001120806,1,9,0.003259897
7461770,54,91,0,31,0.004144907,0,34,0.043810606
6647330,99,50,1,22,0.002533197,0,14,0.010418892
2093913,119,98,1,28,0.006630898,0,18,0.041924953
9638050,100,104,1,32,0.007492781,0,23,0.056433678
9936245,114,34,1,46,0.005250216,1,44,0.18891716
1010433,59,123,1,33,0.003955841,0,31,0.030081749
1900354,54,35,1,7,0.000669718,1,7,0.001512527
1497400,96,115,1,54,0.010300398,1,47,0.1500144
7727531,86,38,1,16,0.001955509,1,8,0.001626015
4836328,67,110,1,21,0.003231049,0,10,0.010941982
4868662,54,45,1,47,0.006247282,1,38,0.103320837
2183097,37,32,1,15,0.001821995,1,14,0.007933378
5256642,85,84,0,300,0.048080921,1,77,1.227632999
7389155,48,76,1,54,0.009414196,1,44,0.08561039
9032515,77,76,1,43,0.007033587,0,6,0.027301311
5536482,127,128,1,97,0.030954123,0,25,0.234930992
432186,93,96,1,125,0.021390438,1,45,0.126500607
4378440,112,58,1,51,0.006983042,1,54,0.3617661
8455391,62,77,1,26,0.00422287,1,26,0.053639889
9716770,111,78,1,27,0.003495216,1,27,0.040041685
1767856,93,81,1,38,0.007744551,1,33,0.046789169
605046,93,79,1,38,0.006973743,0,21,0.094902515
