seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
7727465,126,80,1,69,0.011228085,1,69,0.396481991
9654485,76,71,1,39,0.004911661,0,18,0.044157982
571686,41,121,1,27,0.002688169,1,27,0.029675484
6041994,66,117,1,71,0.01067543,0,27,0.409958601
5306708,106,101,1,53,0.00778842,0,28,0.21293807
3859555,87,55,1,74,0.009572029,0,23,0.737710238
3745138,49,113,1,118,0.012069225,0,12,0.72735548
8056216,33,53,1,20,0.002182722,1,20,0.013809443
8000260,64,39,1,15,0.001417875,1,15,0.007528543
9645752,104,108,1,73,0.016690969,1,61,0.228229523
3738691,121,59,1,1,0.000143051,1,1,6.39E-05
3102155,51,110,1,37,0.004800797,1,37,0.131308079
6083358,74,51,1,63,0.008255005,1,59,0.436893225
561902,59,108,0,9,0.001396894,0,13,0.012968302
7997347,106,75,1,94,0.013370991,0,28,0.044604063
2527774,63,91,1,16,0.002586365,1,16,0.011590242
7041279,99,36,1,22,0.002166986,1,22,0.031048059
1328327,36,98,1,39,0.00475359,1,39,0.08109355
169385,65,42,1,37,0.004033804,1,33,0.08558917
8805787,64,32,1,52,0.005980492,0,4,0.027797937
2530628,77,94,1,59,0.009552717,0,54,0.313611984
6296077,91,62,0,0,0,0,0,0
9131515,69,40,1,6,0.00083828,1,6,0.000921965
7664639,33,85,1,7,0.000707626,1,7,0.001746893
6951583,97,69,1,31,0.004622698,0,2,0.006809235
2853170,105,43,1,47,0.005812407,1,47,0.176124573
4206191,117,49,1,5,0.000628233,1,5,0.000696659
5616212,76,68,0,0,1.19E-06,0,0,0
4189925,117,124,1,34,0.009222984,1,27,0.034838676
3422781,89,104,0,6,0.001351357,0,5,0.023030519
9984562,37,50,1,8,0.00090909,1,8,0.001473427
289376,74,124,1,19,0.002565384,1,19,0.015693903
4196237,118,103,0,300,0.057532072,0,50,2.503244162
4440131,88,80,1,52,0.01133585,0,42,0.349888802
6618246,80,123,1,93,0.016588926,0,3,0.047919035
4793005,74,60,1,20,0.002779961,1,20,0.008377552
1385261,54,78,1,42,0.005700111,0,4,0.023139954
1035793,99,96,1,52,0.008022308,1,51,0.290840626
5021919,87,127,1,83,0.016453505,1,94,1.428932667
3577016,107,76,0,54,0.009123564,0,44,0.283301353
9026108,75,114,1,27,0.003777027,1,30,0.046582699
5439250,64,42,1,20,0.002605915,1,20,0.016824961
7477535,44,87,1,71,0.010292292,1,74,1.022446156
6745981,76,100,1,106,0.018719435,1,26,0.016104937
7779344,59,119,1,32,0.004882813,1,32,0.102954626
5295041,119,78,1,22,0.002852201,1,22,0.025847435
6422215,118,45,1,104,0.013447523,1,100,0.287255764
9117287,76,37,1,12,0.001462221,1,12,0.006961823
446076,126,80,1,85,0.0127635,0,90,1.372145414
2109209,125,48,1,84,0.009245396,1,84,1.274670839
6357708,50,109,1,53,0.007255793,1,53,0.346146584
751413,57,63,0,25,0.003431559,0,24,0.036612034
749816,77,79,1,13,0.002394438,0,6,0.003085375
4562513,102,119,1,34,0.008136511,1,30,0.03579998
4866193,97,56,1,22,0.00322032,1,14,0.007311821
1965124,91,73,1,32,0.006064653,1,33,0.058120251
3318127,114,72,1,31,0.005801678,1,28,0.043633223
6142371,35,95,1,183,0.016741037,1,80,0.645636559
8483099,105,38,1,6,0.000647306,1,6,0.001101255
7336747,93,38,0,37,0.031306744,0,13,0.045404196
4013324,66,81,1,25,0.00357151,1,25,0.04590559
410186,96,105,1,56,0.009488583,0,12,0.130838633
6253973,33,116,0,300,0.026712418,0,94,0.466338873
5484886,39,47,0,38,0.004354,1,42,0.085380554
1123372,53,103,1,60,0.006539345,0,20,0.400645494
8846498,61,41,1,55,0.00608182,1,41,0.168218613
94745,73,128,1,80,0.011774778,0,33,0.231486082
7792571,108,83,1,49,0.008836985,1,43,0.164803505
5318512,79,105,1,33,0.005284548,1,33,0.06896019
9388530,33,65,1,22,0.002629519,1,22,0.017834902
901905,65,115,1,49,0.006787777,1,49,0.316841364
3237927,45,97,1,11,0.001544237,1,11,0.005710602
2119278,96,119,1,151,0.027621269,1,88,1.097275972
9940709,89,43,1,47,0.0061481,0,32,0.076113939
4315383,69,60,1,11,0.001790762,1,11,0.004014254
523650,85,56,1,58,0.007039309,0,2,0.01755619
2118508,108,122,1,107,0.019168139,0,35,0.346223116
9158251,46,93,1,63,0.007704973,1,63,0.673535824
6526662,104,85,1,54,0.008310556,0,29,0.408789158
3487683,125,39,1,74,0.0085392,0,3,0.006115913
7657170,49,124,1,112,0.012355089,1,47,0.301342487
8919409,112,35,1,31,0.003765345,1,31,0.026457787
2758234,53,110,1,13,0.001645327,1,10,0.003584623
1117903,49,95,1,12,0.001542091,1,12,0.005462646
9979844,113,37,1,44,0.005346775,1,42,0.070712805
9354864,64,101,1,87,0.013584852,0,36,0.482263565
1833224,122,113,1,163,0.045020819,0,6,0.085083723
7534305,71,123,1,16,0.002035618,1,16,0.013963223
1677424,49,78,1,34,0.004109383,1,34,0.113953829
6023081,91,35,1,51,0.00556922,0,8,0.137817383
7435954,47,34,0,12,0.001505375,1,17,0.011373997
5626855,90,48,1,19,0.002102137,1,19,0.017467499
8169400,62,80,1,19,0.002551317,1,19,0.022536516
4221685,98,107,1,62,0.014253855,1,43,0.107693434
7548959,56,70,1,184,0.025684834,0,5,0.056586027
187866,54,46,1,32,0.003737926,0,9,0.047031403
3353206,68,65,1,22,0.003445148,0,1,0.0027771
9361810,58,41,1,25,0.002712011,1,25,0.048799992
8645059,39,77,1,17,0.001799345,1,17,0.00880456
6766826,45,88,1,43,0.005418062,0,13,0.069307566
78539,64,75,1,10,0.001369476,1,10,0.002265215
3409431,34,99,1,24,0.002691031,1,24,0.020487309
1192280,91,69,1,60,0.007837534,0,35,0.466575384
9677559,73,34,1,61,0.007354736,0,1,0.02116704
1625433,33,126,1,2,0.000221729,1,2,0.000193119
2775112,44,108,1,26,0.00315547,1,28,0.03068471
3252776,58,121,1,28,0.00330615,1,28,0.054025888
580836,99,83,1,56,0.009092569,1,52,0.268905401
256942,73,69,1,47,0.006963491,0,26,0.176941872
6983090,39,124,1,58,0.006283045,1,58,0.102145195
7796376,111,39,1,58,0.006103754,0,10,0.181191921
2349283,55,32,1,6,0.000702143,1,6,0.001132011
6105532,123,60,1,35,0.004412413,1,25,0.025494576
7345980,59,64,1,57,0.009337425,1,55,0.400198221
500603,93,68,1,53,0.006413221,0,9,0.121559858
5914858,120,111,1,171,0.035454512,0,47,1.471626759
7632295,106,42,0,85,0.01018548,1,48,0.069101095
8035360,120,111,1,77,0.018603802,0,19,0.165807962
7795210,50,46,1,30,0.003643513,0,8,0.014032841
9951290,115,95,1,59,0.012141705,0,42,0.472980976
7169829,125,102,1,51,0.007920504,1,47,0.082654953
4475051,88,45,1,1,0.000115871,1,1,6.20E-05
8207908,71,63,1,50,0.005956411,1,45,0.17179656
9705667,104,39,1,27,0.002915144,1,27,0.030453444
8120196,54,62,1,19,0.00270319,1,19,0.012154341
8419058,105,115,1,206,0.04997921,1,100,1.10104394
9489060,85,63,1,35,0.005179644,0,27,0.040446043
4033267,105,121,1,42,0.007373333,0,30,0.092393637
309133,112,33,1,46,0.004847288,1,46,0.082759619
6809617,36,48,1,33,0.003278732,1,33,0.064521074
8168566,45,126,1,37,0.004343271,1,36,0.063878775
5969771,104,79,1,64,0.010774612,1,64,0.140191078
5113594,111,43,1,72,0.008774757,1,66,0.260922909
4761840,37,38,1,20,0.002151728,1,20,0.011838913
3028697,37,74,1,30,0.003519535,0,12,0.025793552
4739544,61,125,1,64,0.007625341,1,54,0.471841574
4241886,106,57,1,33,0.004029751,0,17,0.046977758
9140755,122,42,1,28,0.002933264,0,7,0.030430317
2840159,79,97,0,8,0.001901388,0,3,0.011003017
7993685,76,56,1,23,0.002938747,0,4,0.003412724
3052768,120,71,1,90,0.014256001,0,15,0.39532423
3721913,54,39,1,57,0.006345272,0,9,0.01539731
8321737,102,80,1,70,0.010659218,1,67,0.5842278
2300797,71,34,1,25,0.002542496,1,25,0.024837971
3300905,33,86,1,24,0.002310276,1,24,0.017866135
2302891,109,49,1,75,0.010307789,0,21,0.147140741
4528033,109,121,1,9,0.00197053,1,8,0.001812696
7627740,50,54,1,61,0.008091927,0,27,0.072197914
3667152,55,124,1,55,0.006411076,1,54,0.320304394
8488521,110,80,1,40,0.006754637,1,40,0.10532403
1122016,123,61,1,53,0.007681131,1,53,0.358078957
